Source ID/page,Faculty engagement,Qualification wording exactly as source,Rank/title exactly as source,Level/sequence exactly as source,Rule type,Source status,Notes
NDMU-DOC-ACAD-RANKS-2026-V1/P1,full_time_faculty,Ph.D./Ed.D.,University Professor,Top Level / Unnumbered,full_time_rank_seed,explicit,Verbatim source rank
NDMU-DOC-ACAD-RANKS-2026-V1/P1,full_time_faculty,Ph.D./Ed.D.,University Professor IV,Sub-level IV,full_time_rank_seed,explicit,Verbatim source rank
NDMU-DOC-ACAD-RANKS-2026-V1/P1,full_time_faculty,Ph.D./Ed.D.,University Professor III,Sub-level III,full_time_rank_seed,explicit,Verbatim source rank
NDMU-DOC-ACAD-RANKS-2026-V1/P1,full_time_faculty,Ph.D./Ed.D.,University Professor II,Sub-level II,full_time_rank_seed,explicit,Verbatim source rank
NDMU-DOC-ACAD-RANKS-2026-V1/P1,full_time_faculty,Ph.D./Ed.D.,University Professor I,Sub-level I,full_time_rank_seed,explicit,Verbatim source rank
NDMU-DOC-ACAD-RANKS-2026-V1/P1,full_time_faculty,Ph.D./Ed.D.,Professor IV,Sub-level IV,full_time_rank_seed,explicit,Verbatim source rank
NDMU-DOC-ACAD-RANKS-2026-V1/P1,full_time_faculty,Ph.D./Ed.D.,Professor III,Sub-level III,full_time_rank_seed,explicit,Verbatim source rank
NDMU-DOC-ACAD-RANKS-2026-V1/P1,full_time_faculty,Ph.D./Ed.D.,Professor II,Sub-level II,full_time_rank_seed,explicit,Verbatim source rank
NDMU-DOC-ACAD-RANKS-2026-V1/P1,full_time_faculty,Ph.D./Ed.D.,Professor I,Sub-level I,full_time_rank_seed,explicit,Verbatim source rank
NDMU-DOC-ACAD-RANKS-2026-V1/P1,full_time_faculty,MA/MS/MAT/MD/LL.B./Priests or Equivalent,Associate Professor,Unnumbered,full_time_rank_seed,explicit,Verbatim source rank
NDMU-DOC-ACAD-RANKS-2026-V1/P1,full_time_faculty,MA/MS/MAT/MD/LL.B./Priests or Equivalent,Associate Professor IV,Sub-level IV,full_time_rank_seed,explicit,Verbatim source rank
NDMU-DOC-ACAD-RANKS-2026-V1/P1,full_time_faculty,MA/MS/MAT/MD/LL.B./Priests or Equivalent,Associate Professor III,Sub-level III,full_time_rank_seed,explicit,Verbatim source rank
NDMU-DOC-ACAD-RANKS-2026-V1/P1,full_time_faculty,MA/MS/MAT/MD/LL.B./Priests or Equivalent,Associate Professor II,Sub-level II,full_time_rank_seed,explicit,Verbatim source rank
NDMU-DOC-ACAD-RANKS-2026-V1/P1,full_time_faculty,MA/MS/MAT/MD/LL.B./Priests or Equivalent,Associate Professor I,Sub-level I,full_time_rank_seed,explicit,Verbatim source rank
NDMU-DOC-ACAD-RANKS-2026-V1/P1,full_time_faculty,MA/MS/MAT/MD/LL.B./Priests or Equivalent,Assistant Professor,Unnumbered,full_time_rank_seed,explicit,Verbatim source rank
NDMU-DOC-ACAD-RANKS-2026-V1/P1,full_time_faculty,MA/MS/MAT/MD/LL.B./Priests or Equivalent,Assistant Professor IV,Sub-level IV,full_time_rank_seed,explicit,Verbatim source rank
NDMU-DOC-ACAD-RANKS-2026-V1/P1,full_time_faculty,MA/MS/MAT/MD/LL.B./Priests or Equivalent,Assistant Professor III,Sub-level III,full_time_rank_seed,explicit,Verbatim source rank
NDMU-DOC-ACAD-RANKS-2026-V1/P1,full_time_faculty,MA/MS/MAT/MD/LL.B./Priests or Equivalent,Assistant Professor II,Sub-level II,full_time_rank_seed,explicit,Verbatim source rank
NDMU-DOC-ACAD-RANKS-2026-V1/P1,full_time_faculty,MA/MS/MAT/MD/LL.B./Priests or Equivalent,Assistant Professor I,Sub-level I,full_time_rank_seed,explicit,Verbatim source rank
NDMU-DOC-ACAD-RANKS-2026-V1/P1,full_time_faculty,CPA/ENGR./MEDTECH/CHEMIST/NURSE/DVM/SOCIAL WORKER/ARCHITECT/DMD,Senior Instructor,Unnumbered,full_time_rank_seed,explicit,Verbatim source rank
NDMU-DOC-ACAD-RANKS-2026-V1/P1,full_time_faculty,CPA/ENGR./MEDTECH/CHEMIST/NURSE/DVM/SOCIAL WORKER/ARCHITECT/DMD,Senior Instructor IV,Sub-level IV,full_time_rank_seed,explicit,Verbatim source rank
NDMU-DOC-ACAD-RANKS-2026-V1/P1,full_time_faculty,CPA/ENGR./MEDTECH/CHEMIST/NURSE/DVM/SOCIAL WORKER/ARCHITECT/DMD,Senior Instructor III,Sub-level III,full_time_rank_seed,explicit,Verbatim source rank
NDMU-DOC-ACAD-RANKS-2026-V1/P1,full_time_faculty,CPA/ENGR./MEDTECH/CHEMIST/NURSE/DVM/SOCIAL WORKER/ARCHITECT/DMD,Senior Instructor II,Sub-level II,full_time_rank_seed,explicit,Verbatim source rank
NDMU-DOC-ACAD-RANKS-2026-V1/P1,full_time_faculty,CPA/ENGR./MEDTECH/CHEMIST/NURSE/DVM/SOCIAL WORKER/ARCHITECT/DMD,Senior Instructor I,Sub-level I,full_time_rank_seed,explicit,Verbatim source rank
NDMU-DOC-ACAD-RANKS-2026-V1/P1,full_time_faculty,AB/BSE/BS or Equivalent,Instructor I,Sub-level I,full_time_rank_seed,explicit,Verbatim source rank
NDMU-DOC-ACAD-RANKS-2026-V1/P1,full_time_faculty,AB/BSE/BS or Equivalent,Assistant Instructor,Entry Level / Unnumbered,full_time_rank_seed,explicit,Verbatim source rank
NDMU-DOC-ACAD-RANKS-2026-V1/P2,part_time_faculty,Ph.D./Ed.D.,Professorial Lecturer,Single Tier,part_time_title_seed,explicit,Verbatim part-time title
NDMU-DOC-ACAD-RANKS-2026-V1/P2,part_time_faculty,MA/MS/MAT/MD/LL.B./Priests or Equivalent,Assistant Professorial Lecturer,Single Tier,part_time_title_seed,explicit,Verbatim part-time title
NDMU-DOC-ACAD-RANKS-2026-V1/P2,part_time_faculty,CPA/ENGR./MEDTECH/CHEMIST/NURSE/DVM/ARCHITECT/DMD,Senior Lecturer,Single Tier,part_time_title_seed,explicit,Verbatim part-time title
NDMU-DOC-ACAD-RANKS-2026-V1/P2,part_time_faculty,AB/BSE/BS or Equivalent,Lecturer,Single Tier,part_time_title_seed,explicit,Verbatim part-time title
